"indicador","ano","município","valor"
"Matrícula em distorção no ensino fundamental","2007","Umirim","1041"
"Matrícula em distorção no ensino fundamental","2007","Uruburetama","1110"
"Matrícula em distorção no ensino fundamental","2007","Uruoca","649"
"Matrícula em distorção no ensino fundamental","2007","Varjota","797"
"Matrícula em distorção no ensino fundamental","2007","Várzea Alegre","1234"
"Matrícula em distorção no ensino fundamental","2007","Viçosa do Ceará","3474"
"Matrícula em distorção no ensino fundamental","2008","Ceará","225273"
"Matrícula em distorção no ensino fundamental","2008","Abaiara","123"
"Matrícula em distorção no ensino fundamental","2008","Acarape","470"
"Matrícula em distorção no ensino fundamental","2008","Acaraú","1735"
"Matrícula em distorção no ensino fundamental","2008","Acopiara","1103"
"Matrícula em distorção no ensino fundamental","2008","Aiuaba","475"
"Matrícula em distorção no ensino fundamental","2008","Alcântaras","378"
"Matrícula em distorção no ensino fundamental","2008","Altaneira","96"
"Matrícula em distorção no ensino fundamental","2008","Alto Santo","603"
"Matrícula em distorção no ensino fundamental","2008","Amontada","878"
"Matrícula em distorção no ensino fundamental","2008","Antonina do Norte","313"
"Matrícula em distorção no ensino fundamental","2008","Apuiarés","302"
"Matrícula em distorção no ensino fundamental","2008","Aquiraz","2438"
"Matrícula em distorção no ensino fundamental","2008","Aracati","1137"
"Matrícula em distorção no ensino fundamental","2008","Aracoiaba","393"
"Matrícula em distorção no ensino fundamental","2008","Ararendá","290"
"Matrícula em distorção no ensino fundamental","2008","Araripe","1417"
"Matrícula em distorção no ensino fundamental","2008","Aratuba","254"
"Matrícula em distorção no ensino fundamental","2008","Arneiroz","167"
"Matrícula em distorção no ensino fundamental","2008","Assaré","716"
"Matrícula em distorção no ensino fundamental","2008","Aurora","752"
"Matrícula em distorção no ensino fundamental","2008","Baixio","195"
"Matrícula em distorção no ensino fundamental","2008","Banabuiú","377"
"Matrícula em distorção no ensino fundamental","2008","Barbalha","1285"
"Matrícula em distorção no ensino fundamental","2008","Barreira","740"
"Matrícula em distorção no ensino fundamental","2008","Barro","801"
"Matrícula em distorção no ensino fundamental","2008","Barroquinha","474"
"Matrícula em distorção no ensino fundamental","2008","Baturité","891"
"Matrícula em distorção no ensino fundamental","2008","Beberibe","1321"
"Matrícula em distorção no ensino fundamental","2008","Bela Cruz","410"
"Matrícula em distorção no ensino fundamental","2008","Boa Viagem","2468"
"Matrícula em distorção no ensino fundamental","2008","Brejo Santo","1232"
"Matrícula em distorção no ensino fundamental","2008","Camocim","1012"
"Matrícula em distorção no ensino fundamental","2008","Campos Sales","926"
"Matrícula em distorção no ensino fundamental","2008","Canindé","2112"
"Matrícula em distorção no ensino fundamental","2008","Capistrano","425"
"Matrícula em distorção no ensino fundamental","2008","Caridade","652"
"Matrícula em distorção no ensino fundamental","2008","Cariré","496"
"Matrícula em distorção no ensino fundamental","2008","Caririaçu","1222"
"Matrícula em distorção no ensino fundamental","2008","Cariús","318"
"Matrícula em distorção no ensino fundamental","2008","Carnaubal","370"
"Matrícula em distorção no ensino fundamental","2008","Cascavel","1491"
"Matrícula em distorção no ensino fundamental","2008","Catarina","188"
"Matrícula em distorção no ensino fundamental","2008","Catunda","207"
"Matrícula em distorção no ensino fundamental","2008","Caucaia","8063"
"Matrícula em distorção no ensino fundamental","2008","Cedro","722"
"Matrícula em distorção no ensino fundamental","2008","Chaval","434"
"Matrícula em distorção no ensino fundamental","2008","Choró","326"
"Matrícula em distorção no ensino fundamental","2008","Chorozinho","631"
"Matrícula em distorção no ensino fundamental","2008","Coreaú","467"
"Matrícula em distorção no ensino fundamental","2008","Crateús","2380"
"Matrícula em distorção no ensino fundamental","2008","Crato","2764"
"Matrícula em distorção no ensino fundamental","2008","Croatá","43"
"Matrícula em distorção no ensino fundamental","2008","Cruz","329"
"Matrícula em distorção no ensino fundamental","2008","Deputado Irapuan Pinheiro","108"
"Matrícula em distorção no ensino fundamental","2008","Ereré","143"
"Matrícula em distorção no ensino fundamental","2008","Eusébio","963"
"Matrícula em distorção no ensino fundamental","2008","Farias Brito","341"
"Matrícula em distorção no ensino fundamental","2008","Forquilha","348"
"Matrícula em distorção no ensino fundamental","2008","Fortaleza","64515"
"Matrícula em distorção no ensino fundamental","2008","Fortim","492"
"Matrícula em distorção no ensino fundamental","2008","Frecheirinha","346"
"Matrícula em distorção no ensino fundamental","2008","General Sampaio","354"
"Matrícula em distorção no ensino fundamental","2008","Graça","564"
"Matrícula em distorção no ensino fundamental","2008","Granja","1695"
"Matrícula em distorção no ensino fundamental","2008","Granjeiro","337"
"Matrícula em distorção no ensino fundamental","2008","Groaíras","371"
"Matrícula em distorção no ensino fundamental","2008","Guaiúba","632"
